,MOVIE_ID,TITLE,TMDB_ID,title,director,production_companies,genres,popularity,rating,actors,overview
0,1,12 Angry Men,389,12 Angry Men,['Sidney Lumet'],"['United Artists', 'Orion-Nova Productions']",['Drama'],70.722,8.545,"['Lee J. Cobb', 'Henry Fonda', 'Martin Balsam', 'Jack Warden', 'John Fiedler', 'E.G. Marshall', 'Ed Begley', 'Robert Webber', 'Edward Binns', 'Jack Klugman']","['jury', 'father', 'defense', 'prosecution', 'rested', 'filing', 'room', 'decide', 'young', 'Spanish-American']"
1,2,2001: A Space Odyssey,62,2001: A Space Odyssey,['Stanley Kubrick'],"['Kubrick Productions', 'Metro-Goldwyn-Mayer']","['Science Fiction', 'Mystery', 'Adventure']",77.925,8.073,"['Stanley Kubrick', 'Keir Dullea', 'Gary Lockwood', 'Leonard Rossiter', 'Ed Bishop', 'Harry Fielder', 'Margaret Tyzack', 'Edwina Carroll', 'William Sylvester', 'Vivian Kubrick']","['HAL', 'Humanity', 'computer', 'mysterious', 'object', 'buried', 'beneath', 'lunar', 'surface', 'sets']"
2,3,3 Idiots,20453,3 Idiots,['Rajkumar Hirani'],"['Vidhu Vinod Chopra Productions', 'Vinod Chopra Films']","['Drama', 'Comedy']",30.586,8.0,"['Kareena Kapoor Khan', 'Aamir Khan', 'Ali Fazal', 'Javed Jaffrey', 'R. Madhavan', 'Boman Irani', 'Sharman Joshi', 'Parikshat Sahni', 'Mona Singh', 'Omi Vaidya']","['Rascal', 'Rancho', 'Virus', 'dean', 'Joker', 'India', 'Dreamer', 'Genius', 'idiots', 'university']"
3,4,A Beautiful Mind,453,A Beautiful Mind,['Ron Howard'],"['Universal Pictures', 'DreamWorks Pictures', 'Imagine Entertainment']","['Drama', 'Romance']",49.376,7.9,"['Russell Crowe', 'Jennifer Connelly', 'Bryce Dallas Howard', 'Ed Harris', 'Paul Bettany', 'Adam Goldberg', 'Jason Gray-Stanford', 'Josh Lucas', 'Christopher Plummer', 'Judd Hirsch']","['John', 'Nash', 'Brilliant', 'mathematician', 'conspiracy', 'brink', 'international', 'acclaim', 'entangled', 'mysterious']"
4,5,A Clockwork Orange,185,A Clockwork Orange,['Stanley Kubrick'],"['Warner Bros. Pictures', 'Hawk Films', 'Kubrick Productions', 'Polaris Productions Limited']","['Science Fiction', 'Crime']",63.517,8.2,"['Malcolm McDowell', 'Gillian Hills', 'Adrienne Corri', 'Steven Berkoff', 'Warren Clarke', 'Patrick Magee', 'Virginia Wetherell', 'James Marcus', 'Michael Bates', 'Aubrey Morris']","['Britain', 'Alexander', 'Alex', 'young', 'near-future', 'DeLarge', 'pals', 'kicks', 'beating', 'raping']"
5,6,A Streetcar Named Desire,702,A Streetcar Named Desire,['Elia Kazan'],"['Charles K. Feldman Group', 'Warner Bros. Pictures']","['Drama', 'Thriller']",30.004,7.6,"['Marlon Brando', 'Kim Hunter', 'Karl Malden', 'Vivien Leigh', 'Wright King', 'Mickey Kuhn', 'Peg Hillias', 'Richard Garrick', 'Nick Dennis', ""William H. O'Brien""]","['Orleans', 'ferocious', 'sanity', 'fading', 'southern', 'belle', 'moves', 'sister', 'stabs']"
6,7,Alien,348,Alien,['Ridley Scott'],"['20th Century Fox', 'Brandywine Productions']","['Horror', 'Science Fiction']",150.935,8.157,"['Sigourney Weaver', 'John Hurt', 'Tom Skerritt', 'Harry Dean Stanton', 'Veronica Cartwright', 'Ian Holm', 'Helen Horton', 'Yaphet Kotto', 'Bolaji Badejo']","['Nostromo', 'planet', 'earth', 'commercial', 'return', 'spaceship', 'intercepts', 'distress', 'signal', 'distant']"
7,8,All About Eve,705,All About Eve,['Joseph L. Mankiewicz'],['20th Century Fox'],['Drama'],22.181,8.1,"['Bette Davis', 'Anne Baxter', 'Marilyn Monroe', 'Gary Merrill', 'George Sanders', 'Celeste Holm', 'Harold Miller', 'Barbara Bates', 'Claude Stroud', 'Thelma Ritter']","['Margo', 'Channing', 'Harrington', 'Eve', 'door', 'moment', 'glimpses', 'idol', 'stage', 'determined']"
8,9,All Quiet on the Western Front,143,All Quiet on the Western Front,['Lewis Milestone'],['Universal Pictures'],"['Drama', 'War']",30.527,7.758,"['Heinie Conklin', 'Slim Summerville', 'Tom London', 'Lew Ayres', 'Ernie Adams', 'Beryl Mercer', 'Richard Alexander', 'Ben Alexander', 'Fred Zinnemann', 'Edmund Breese']","['War', 'Front', 'German', 'Army', 'Great', 'Western', 'combat', 'group', 'idealistic', 'young']"
9,10,Amadeus,279,Amadeus,['Miloš Forman'],['The Saul Zaentz Company'],"['History', 'Music', 'Drama']",34.542,8.031,"['Jeffrey Jones', 'Tom Hulce', 'Cynthia Nixon', 'F. Murray Abraham', 'Brian Pettifer', 'Vincent Schiavelli', 'Simon Callow', 'Elizabeth Berridge', 'Roy Dotrice', 'Christine Ebersole']","['Mozart', 'Italian', 'Antonio', 'Salieri', 'Viennese', 'Wolfgang', 'Amadeus', 'Disciplined', 'composer', 'consumed']"
10,11,American Beauty,14,American Beauty,['Sam Mendes'],"['DreamWorks Pictures', 'Jinks/Cohen Company']",['Drama'],61.239,8.0,"['Mena Suvari', 'Allison Janney', 'Thora Birch', 'Annette Bening', 'Peter Gallagher', 'Kevin Spacey', 'Wes Bentley', 'Chris Cooper', 'John Cho', 'Scott Bakula']","['Burnham', 'Lester', 'crisis', 'decides', 'friend', 'depressed', 'suburban', 'father', 'mid-life', 'turn']"
11,12,American History X,73,American History X,['Tony Kaye'],"['New Line Cinema', 'Savoy Pictures', 'The Turman-Morrissey Company']",['Drama'],46.55,8.344,"[""Beverly D'Angelo"", 'Edward Norton', 'Stacy Keach', 'Elliott Gould', 'Christopher Masterson', 'Ethan Suplee', 'Edward Furlong', 'Fairuza Balk', 'Avery Brooks', 'Paul Le Mat']","['Derek', 'Vineyard', 'Danny', 'serving', 'years', 'men', 'prison', 'paroled', 'killing', 'African-American']"
12,13,Amores perros,55,Amores Perros,['Alejandro González Iñárritu'],"['Altavista Films', 'Zeta Film']","['Drama', 'Thriller']",32.55,7.6,"['Gael García Bernal', 'Adriana Barraza', 'Humberto Busto', 'Goya Toledo', 'Dagoberto Gama', 'Rosa María Bianchi', 'Vanessa Bauche', 'Jorge Salinas', 'Roberto Medina', 'Álvaro Guerrero']","['man', 'Mexico', 'people', 'supermodel', 'lives', 'fatalistic', 'car', 'crash', 'city', 'sets']"
13,14,Anatomy of a Murder,93,Anatomy of a Murder,['Otto Preminger'],"['Columbia Pictures', 'Otto Preminger Films']","['Crime', 'Drama', 'Mystery']",22.47,7.8,"['James Stewart', 'George C. Scott', 'Murray Hamilton', 'Lee Remick', 'Orson Bean', 'Kathryn Grant', 'Eve Arden', 'Ben Gazzara', 'Joseph Kearns', 'Howard McNear']","['Michigan', 'Paul', 'Army', 'Semi-retired', 'Biegler', 'lawyer', 'case', 'Manion', 'District', 'Attorney']"
