1642;1;0.000000;0.000000;-nan;-nan;0.000000
1102;1;0.000000;0.033333;0.066667;0.866667;0.033333
549;1;0.266667;0.033333;0.366667;0.033333;0.300000
1641;3;0.133333;0.033333;0.566667;0.233333;0.033333
546;1;0.000000;0.000000;0.000000;1.000000;0.000000
1096;4;0.566667;0.066667;0.233333;0.100000;0.033333
5;1;0.000000;-170146355474918162907645410264962039808.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
559;2;0.000000;0.000000;0.000000;0.000000;1.000000
12;8;0.000000;0.000000;0.000000;0.000000;1.000000
1659;1;0.400000;0.300000;0.000000;0.200000;0.100000
566;6;0.000000;0.133333;0.000000;0.600000;0.266667
19;1;0.000000;0.000000;0.000000;-170146355474918162907645410264962039808.000000;0.000000
564;2;0.300000;0.033333;0.000000;0.566667;0.100000
1662;3;0.000000;0.566667;0.000000;0.433333;0.000000
1112;6;0.166667;0.200000;0.400000;0.200000;0.033333
575;1;0.066667;0.466667;0.133333;0.333333;0.000000
24;3;0.000000;0.000000;0.000000;0.000000;1.000000
572;2;0.133333;0.033333;0.700000;0.000000;0.133333
1648;2;0.000000;0.033333;0.000000;0.866667;0.100000
569;2;0.033333;0.266667;0.000000;0.633333;0.066667
31;2;0.033333;0.000000;0.000000;0.833333;0.133333
1135;3;0.066667;0.066667;0.833333;0.000000;0.033333
1611;1;0.033333;0.033333;0.933333;0.000000;0.000000
512;2;0.000000;0.200000;0.000000;0.766667;0.033333
1613;8;0.000000;0.033333;0.066667;0.733333;0.166667
1131;6;0.533333;0.033333;0.066667;0.366667;0.000000
1614;3;0.033333;0.700000;0.233333;0.000000;0.033333
1600;2;0.033333;0.000000;0.000000;0.966667;0.000000
526;9;0.066667;0.100000;0.566667;0.200000;0.066667
1604;1;0.000000;0.000000;0.033333;0.000000;0.966667
1122;1;0.866667;0.033333;0.000000;0.066667;0.033333
523;1;0.000000;0.033333;0.033333;0.866667;0.066667
532;3;0.466667;0.066667;0.200000;0.233333;0.033333
535;1;0.000000;0.000000;0.066667;0.866667;0.066667
1628;1;0.200000;0.033333;0.000000;0.733333;0.033333
1631;1;0.033333;0.033333;0.000000;0.933333;0.000000
1145;1;0.000000;0.000000;0.000000;0.000000;1.000000
52;1;0.133333;0.033333;0.000000;0.833333;0.000000
